provider,source,id,name,future_programmes,future_hours,desc_pct,sample_title,sample_desc,suspicious_clone,clone_group_size,url
epgshare,AE1,Iraqia.Syriac.ae,Iraqia Syriac,139,84.4,100.0,Breakthrough,"How did the western United States become a hotspot for unwieldy and devastating forest fires? Learn how the history of forest management and loss of public trust, coupled with climate change, have led to the conditions driving mega-fire nearly year-round.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,One.America.News.Network.ae,One America News Network,139,84.4,100.0,Breakthrough,"How did the western United States become a hotspot for unwieldy and devastating forest fires? Learn how the history of forest management and loss of public trust, coupled with climate change, have led to the conditions driving mega-fire nearly year-round.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Wedotv.Big.Stories.ae,Wedotv Big Stories,139,84.4,100.0,Breakthrough,"How did the western United States become a hotspot for unwieldy and devastating forest fires? Learn how the history of forest management and loss of public trust, coupled with climate change, have led to the conditions driving mega-fire nearly year-round.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Zee.Alwan.Egypt.ae,Zee Alwan Egypt,139,84.4,100.0,Breakthrough,"How did the western United States become a hotspot for unwieldy and devastating forest fires? Learn how the history of forest management and loss of public trust, coupled with climate change, have led to the conditions driving mega-fire nearly year-round.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
openepg,saudiarabia1,Rotana Kids.sa,Rotana Kids.sa,138,40.2,100.0,إينا مينا ديكا:الحلقة 1,فوكسي، ثعلب ماكر وجشع يخطف أي شيء يراه أمامه. يرسم خطة لالتقاط ثلاث دجاجات صغيرات: إينا، مينا، ديكا، لكن الكتاكيت تنجح بالتغلب عليه. لن يستسلم بل سيضع خطة شريرة جديدة ليصل إلى هدفه. هل ينجح؟,False,1,https://www.open-epg.com/files/saudiarabia1.xml
openepg,saudiarabia1,MBC 3.sa,MBC 3.sa,136,40.2,100.0,ماشا والدب:الحلقة 137,بكل لطف وطرافة تتابع هذه السلسلة مغامرات الفتاة الصغيرة، ماشا وصديقها الدب.,False,1,https://www.open-epg.com/files/saudiarabia1.xml
epgshare,SA2,EN:.MBC.Masr.2.sa,EN: MBC Masr 2,134,84.0,56.7,El Koura Ma' Fayek,"Covering the Egyptian, Arab, and international scene, El Koura Ma' Fayek provides in-depth analyses of football matches with top sports analysts from the Arab world.",False,1,https://epgshare01.online/epgshare01/epg_ripper_SA2.xml.gz
openepg,saudiarabia5,MBC 3.sa,MBC 3.sa,134,40.3,100.0,Masha And The Bear,Masha And The Bear,False,1,https://www.open-epg.com/files/saudiarabia5.xml
epgshare,SA2,EN:.MBC.Action.sa,EN: MBC Action,133,84.0,86.5,Mala'eb Ma' Faisal Aljafan,"The podcast breaks down the latest sports updates in Saudi, Arab, and international arenas.",False,1,https://epgshare01.online/epgshare01/epg_ripper_SA2.xml.gz
epgshare,AE1,Al.Rai.TV.ae,Al Rai TV,132,85.6,100.0,The Goodness Of My People,"Covering all charitable projects around the world held with the help of Kuwaiti individuals and the government, as well as showing their impact on the beneficiaries. Omar Al Othman.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Bahrain.International.ae,Bahrain International,132,85.6,100.0,The Goodness Of My People,"Covering all charitable projects around the world held with the help of Kuwaiti individuals and the government, as well as showing their impact on the beneficiaries. Omar Al Othman.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Bahrain.TV.HD.ae,Bahrain TV HD,132,85.6,100.0,The Goodness Of My People,"Covering all charitable projects around the world held with the help of Kuwaiti individuals and the government, as well as showing their impact on the beneficiaries. Omar Al Othman.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,Saudia.Alaan.TV.ae,Saudia Alaan TV,132,85.6,100.0,The Goodness Of My People,"Covering all charitable projects around the world held with the help of Kuwaiti individuals and the government, as well as showing their impact on the beneficiaries. Omar Al Othman.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
openepg,saudiarabia2,France 24.sa,France 24.sa,130,27.1,100.0,News,International and local news with up-to-the minute coverage on the hour every hour.,False,1,https://www.open-epg.com/files/saudiarabia2.xml
epgshare,AE1,2M.Monde.ae,2M Monde,129,85.0,100.0,Legacy,"Following her sister's tragic death, Yusuf's aunt refuses to let the boy remain in the hands of a cruel uncle, igniting a fierce and unyielding fight to save him from a life of suffering. Halil Ibrahim Ceyhan, Berat Rüzgar Özkan, Sila Turkoglu, Ömer Gecü, Binnaz Ekren, Ayhan Özen, Yazi Odasi.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,ALJAZEERA1,AlJazeera.English.net,AlJazeera English,129,84.0,100.0,Shootout in Glenville: Uncovered,"High school students in Cleveland, Ohio, investigate a deadly 1968 shootout and discover racism and injustice - and become Black activists demanding the truth.",False,1,https://epgshare01.online/epgshare01/epg_ripper_ALJAZEERA1.xml.gz
epgshare,AE1,ar:.كلرز.إتش.دي.ae,ar: كلرز إتش دي,129,84.0,100.0,بغ بوس,‫م20 ، ح14 : ‫يعيش عدد من المتسابقين المشاهير في منزل منعزل للقيام بمهام محددة من أجل الفوز بالجائزة النقدية المنشودة، كما يحاولون أيضاء تجنب الإقصاء.‬.,False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,AE1,en:.Colors.HD.ae,en: Colors HD,129,84.0,100.0,Bigg Boss,"S20 , E14 : Celebrity contestants live in an isolated house and perform assigned tasks, in order to win the cash prize, while also trying to avoid being eliminated.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
epgshare,SA2,EN:.MBC1.Masr.sa,EN: MBC1 Masr,129,84.0,57.4,Ahlan Bi El Sittat,A panel of personalities discusses modern women’s interests as they try to figure out what women want.,False,1,https://epgshare01.online/epgshare01/epg_ripper_SA2.xml.gz
epgshare,AE1,MBC.4.ae,MBC 4,127,84.5,100.0,I Am A Mother,"Karsu breaks up with her abusive husband, takes her three kids, and returns to her mother's house. Although the relationship between her and her mother is marred by tensions, she seeks to build a new life and repair her relationship with those around her. Özge Özpirinçci, Demet Akbag, Necip Memili, Nalan Okcuoglu, Ece Irtem, Nezaket Coskun, Melis Civelek , Ozge Ozpirincci.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
openepg,saudiarabia2,Majid.sa,Majid.sa,125,27.2,100.0,Amouna Al Mazyouna,Amouna Al Mazyouna is a smart and humorous 7 year old who tends to become naughty although she is keen on being a good girl.,False,1,https://www.open-epg.com/files/saudiarabia2.xml
epgshare,AE1,Al.Arabiya.HD.ae,Al Arabiya HD,122,84.0,100.0,Mundial,"Analyzes the key events of the World Cup, showcasing match results, team rankings, and strategies employed on the field, with insights from a panel of analysts and experts.",False,1,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz
