provider,source,id,name,future_programmes,future_hours,desc_pct,url,reason
epgshare,AE1,en:.India.Today.TV.ae,en: India Today TV,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.K-Drama+.ae,en: K-Drama+,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.KADAK.FM.ae,en: KADAK FM,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Karyam.Nissaram.-.Live.ae,en: Karyam Nissaram - Live,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.M80.Moosa.ae,en: M80 Moosa,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Majid.TV.ae,en: Majid TV,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.MBC+.e&.ae,en: MBC+ e&,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.National.Geographic.Abu.Dhabi.ae,en: National Geographic Abu Dhabi,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Quran.Kareem.ae,en: Quran Kareem,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Radio.1.ae,en: Radio 1,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Radio.2.ae,en: Radio 2,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
