canonical,winner_provider,winner_source,winner_id,winner_name,future_programmes,future_hours,desc_pct,rank_score,alternatives_count,alternatives,decision
bein sports xtra digital 09 bein com en,epgshare,BEIN1,beIN_SPORTS_XTRA_Digital_09_Bein.com_EN.bein,beIN_SPORTS_XTRA_Digital_09_Bein.com_EN,34,33.7,0.0,73.3,0,,UNIQUE
logos beinsportsxtra3 ar,epgshare,BEIN1,logos-_beINSPORTSXTRA3_AR.bein,logos-_beINSPORTSXTRA3_AR,33,33.7,0.0,72.59,0,,UNIQUE
logos beinsportsxtra3 en,epgshare,BEIN1,logos-_beINSPORTSXTRA3_EN.bein,logos-_beINSPORTSXTRA3_EN,33,33.7,0.0,72.59,0,,UNIQUE
bein sports1 french digital qa,openepg,qatar2,beIN SPORTS1 FRENCH Digital.qa,beIN SPORTS1 FRENCH Digital.qa,21,36.8,0.0,72.38,1,openepg:qatar3:beIN SPORTS1 FRENCH Digital.qa:29.34,WINNER_OF_DUPLICATES
bein sports xtra1 digital mono ar,epgshare,BEIN1,beIN_SPORTS_XTRA1_Digital_Mono_AR.bein,beIN_SPORTS_XTRA1_Digital_Mono_AR,32,33.7,0.0,71.9,0,,UNIQUE
bein sports xtra1 digital mono en,epgshare,BEIN1,beIN_SPORTS_XTRA1_Digital_Mono_EN.bein,beIN_SPORTS_XTRA1_Digital_Mono_EN,32,33.7,0.0,71.9,0,,UNIQUE
bein sports2 english digital qa,openepg,qatar2,beIN SPORTS2 ENGLISH Digital.qa,beIN SPORTS2 ENGLISH Digital.qa,20,36.9,0.0,71.81,1,openepg:qatar3:beIN SPORTS2 ENGLISH Digital.qa:30.04,WINNER_OF_DUPLICATES
bein sports5 digital qa,openepg,qatar2,beIN SPORTS5 DIGITAL.qa,beIN SPORTS5 DIGITAL.qa,19,37.2,0.0,71.52,1,openepg:qatar3:beIN SPORTS5 DIGITAL.qa:25.3,WINNER_OF_DUPLICATES
movies2 action digital qa,openepg,qatar4,MOVIES2 ACTION DIGITAL.qa,MOVIES2 ACTION DIGITAL.qa,17,38.2,0.0,71.47,1,openepg:qatar5:MOVIES2 ACTION DIGITAL.qa:71.47,WINNER_OF_DUPLICATES
bein sports xtra2 digital mono ar,epgshare,BEIN1,beIN_SPORTS_XTRA2_Digital_Mono_AR.bein,beIN_SPORTS_XTRA2_Digital_Mono_AR,31,33.7,0.0,71.2,0,,UNIQUE
